animation-[1185, 1243]
flash-[30, 44]
hit-[1094, 1103]
I_after-[689, 731]
I_before-[627, 688]
I_miss-[689, 731]
J1-[147, 153]
J2-[168, 179]
J3-[190, 200]
J4-[223, 247]
jump-[55, 59]
fall-[60, 69]
landed-[70, 74]
KI-[827, 928]
kick-[1104, 1151]
KJ-[85, 96]
KU-[97, 110]
KU_down-[117, 140]
run-[10, 24]
S-[1086, 1087]
SI_before-[959, 1049]
SI_miss-[1033, 1049]
SI_after-[1033, 1049]
SJ-[258, 313]
stand-[1, 9]
SU-[414, 433]
SUU-[434, 451]
U-[367, 378]
U_after-[385, 405]
Unknown-[483, 547]
WI_before-[732, 809]
WI_miss-[810, 826]
WI_after-[810, 826]
animation_win-[1256, 1286]
WJ-[314, 350]
WU-[548, 580]
WUU-[593, 626]
